,Symbol,Date,Open,High,Low,Close,Volume
72,IDXG,2017-04-12,21.5,22.4,21.3,21.9,228100
73,IDXG,2017-04-13,22.7,23.4,21.3,21.6,465000
74,IDXG,2017-04-14,21.6,21.6,21.6,21.6,0
75,IDXG,2017-04-17,21.4,21.8,21.1,21.5,124200
76,IDXG,2017-04-18,31.8,44.5,26.8,27.6,56838700
77,IDXG,2017-04-19,26.5,28.5,25.0,25.3,3319800
78,IDXG,2017-04-20,29.1,29.4,25.3,26.0,3631100
79,IDXG,2017-04-21,25.8,26.4,23.0,23.5,1550100
80,IDXG,2017-04-24,24.2,25.0,22.5,23.4,732600
81,IDXG,2017-04-25,23.1,24.5,22.6,24.3,879400
82,IDXG,2017-04-26,24.3,24.4,23.0,23.7,570300
83,IDXG,2017-04-27,23.5,24.0,22.5,23.2,529500
84,IDXG,2017-04-28,23.1,23.4,22.4,22.8,398700
85,IDXG,2017-05-01,22.8,24.2,22.6,23.7,432900
86,IDXG,2017-05-02,23.7,25.2,23.4,24.5,693900
87,IDXG,2017-05-03,24.3,26.0,24.0,24.3,754900
88,IDXG,2017-05-04,24.2,24.7,23.5,24.1,366100
89,IDXG,2017-05-05,24.0,24.2,23.0,23.8,362800
90,IDXG,2017-05-08,23.5,24.2,23.0,23.4,212500
91,IDXG,2017-05-09,23.5,24.0,23.0,23.8,235300
92,IDXG,2017-05-10,24.0,24.7,23.5,24.6,420900
93,IDXG,2017-05-11,24.4,24.5,23.5,23.9,154300
94,IDXG,2017-05-12,23.8,24.0,23.0,23.9,410700
95,IDXG,2017-05-15,31.4,32.0,26.1,27.3,6952900
96,IDXG,2017-05-16,25.0,25.6,24.1,24.3,1065000
97,IDXG,2017-05-17,23.9,24.2,23.0,23.5,400500
98,IDXG,2017-05-18,23.2,26.5,23.1,24.1,2075200
99,IDXG,2017-05-19,23.9,24.1,23.1,23.6,327100
100,IDXG,2017-05-22,21.6,22.6,21.3,21.8,930600
101,IDXG,2017-05-23,21.7,22.0,17.4,18.2,2214000
102,IDXG,2017-05-24,18.6,18.7,16.6,17.8,861800
103,IDXG,2017-05-25,19.6,19.7,18.2,18.7,837000
104,IDXG,2017-05-26,18.6,19.0,17.7,17.9,481200
105,IDXG,2017-05-29,17.9,17.9,17.9,17.9,0
106,IDXG,2017-05-30,17.7,18.0,17.5,18.0,194000
107,IDXG,2017-05-31,17.8,19.6,17.8,18.9,489500
108,IDXG,2017-06-01,18.7,20.5,18.7,18.7,609000
109,IDXG,2017-06-02,19.1,19.9,18.8,19.6,232700
110,IDXG,2017-06-05,20.0,20.4,18.1,18.6,304100
111,IDXG,2017-06-06,18.6,19.4,18.6,19.1,183100
112,IDXG,2017-06-07,19.0,19.7,18.5,18.6,180800
113,IDXG,2017-06-08,18.6,18.9,18.1,18.9,163600
114,IDXG,2017-06-09,18.7,19.0,18.0,18.4,252600
115,IDXG,2017-06-12,18.2,18.3,17.0,17.5,251900
116,IDXG,2017-06-13,17.4,17.4,15.2,16.0,744600
117,IDXG,2017-06-14,16.1,16.1,13.8,14.3,941700
118,IDXG,2017-06-15,16.2,19.4,14.9,15.3,5650100
119,IDXG,2017-06-16,10.0,10.2,9.0,9.3,8530900
120,IDXG,2017-06-19,9.7,9.8,8.0,8.9,2133000
121,IDXG,2017-06-20,9.0,9.0,8.5,8.7,1094600
122,IDXG,2017-06-21,8.6,9.5,8.5,8.8,2468700
123,IDXG,2017-06-22,9.0,9.0,8.3,8.5,1541000
124,IDXG,2017-06-23,8.7,8.8,8.2,8.8,1315600
125,IDXG,2017-06-26,9.7,9.8,8.8,8.9,3624900
126,IDXG,2017-06-27,9.1,9.1,8.3,8.5,2271400
127,IDXG,2017-06-28,10.1,10.3,8.8,9.0,9184900
128,IDXG,2017-06-29,8.8,9.2,8.5,9.0,2001900
129,IDXG,2017-06-30,9.1,9.2,8.6,8.9,1644500
130,IDXG,2017-07-03,9.2,9.2,8.82,9.05,1073400
131,IDXG,2017-07-04,9.05,9.05,9.05,9.05,0
132,IDXG,2017-07-05,9.2,10.0,8.9,9.6,6298500
133,IDXG,2017-07-06,9.9,10.1,9.0,9.0,4765100
134,IDXG,2017-07-07,9.0,9.0,8.6,8.7,2067700
135,IDXG,2017-07-10,9.0,9.4,8.8,9.1,1675700
136,IDXG,2017-07-11,9.1,9.2,8.8,8.8,1210900
137,IDXG,2017-07-12,8.8,8.9,8.6,8.8,883000
138,IDXG,2017-07-13,8.65,8.8,8.52,8.6,790800
139,IDXG,2017-07-14,8.63,8.8,8.55,8.61,750300
